Topic, Top Word
0,disast#41.05327382739715;mountain#33.48072004780552;torrent#27.79646241669835;flood#15.145024769173723;risk#13.47904887248758;china#9.282927950645895;predict#7.466720670958755;prevent#7.355566563285047;control#5.877968144741997;result#5.497224255613775;research#5.469998280076888;condit#5.460492211608164;method#5.249548018111732;map#4.498003763618404;studi#4.4970684652675965;factor#4.494114842432783;loss#4.478063008837189;area#4.317050710571099;rainfal#3.6083400465633035;analysi#3.5490361998219146;paper#3.4984161151808064;forecast#3.497734844195538;technolog#3.4956994501800565;counti#3.4359934063515962;problem#3.4344126537295425;reduct#3.4317388772256856;county#3.302093364443833;develop#3.0504287540288813;data#2.872635157882398;hazard#2.5140868419016704;gi#2.4980187304149934;assess#2.4977523159976562;disaster#2.497520257143141;index#2.4973512930342907;caus#2.496928604986624;review#2.49544579148691;th#2.489888031901522;implement#2.453643182244885;region#2.417228588978083;quantiti#2.417228588978083;
1,mountain#29.51927995219435;disast#24.94672617260271;monitor#23.41595794590709;torrent#20.20353758330151;warn#16.565826641907446;flood#13.85497523082614;water#9.47586490647919;prevent#8.644433436714815;inform#8.398642927638083;rainfal#6.39165995343656;level#6.1773991731883395;design#5.497398590488663;station#5.467094790437252;platform#5.4290206947627295;flash#5.40049632238374;construct#5.373795388315929;network#4.497943325822989;analysi#4.45096380017795;area#3.682949289428763;paper#3.5015838848190577;earli#3.4975354573260318;defens#3.496231184496659;citi#3.49616294730385;debri#3.495862442108868;pdf#3.3596753712278535;situat#3.20027752830381;control#3.122031855257866;develop#2.9495712459709815;method#2.750451981888132;rainstorm#2.525082031639003;densiti#2.5092946494465296;event#2.4983307201702623;reason#2.4982781544188146;appli#2.4982781544188146;sensor#2.4980371631090295;mass#2.4032776618712477;capac#2.2097533006629013;countri#2.208063303548891;data#2.127364842117467;applic#2.0117248770096303;
